Platz,PAK,SNR,Name,Vorname,Verein,AK,Zeit,Schwimmen,Rad,Laufen,Details
375,81,526,Kießling,Gerald,SC DHfK Leipzig e. V.,AK 40,02:54:43,00:33:48,01:12:57,01:00:14,Details
376,82,436,Strangfeld,Martin,Radebeul,AK 40,02:54:44,00:35:56,01:17:54,00:53:26,Details
377,47,361,Bredner,Martin,Zwenkau,AK 30,02:54:51,00:38:24,01:12:54,00:56:02,Details
378,83,680,Graul,Falko,Tischtennis SV Borsdorf,AK 40,02:54:56,00:38:38,01:17:23,00:51:42,Details
379,36,378,Wink,Christopher,Leipzig,AK 25,02:55:02,00:34:32,01:19:46,00:51:40,Details
380,48,356,Guhr,Steve,Leipzig,AK 30,02:55:09,00:36:14,01:20:36,00:52:57,Details
381,69,412,Klose,Nico,Flamingobeine,AK 35,02:55:30,00:34:16,01:15:14,00:59:31,Details
382,70,367,Becker,Sebastian,Blankenburg,AK 35,02:55:31,00:38:04,01:19:00,00:48:25,Details
383,84,609,Grabow,Holger,Kegelsportverein Treuenbrietzen e. V.,AK 40,02:55:36,00:41:32,01:15:15,00:52:31,Details
384,85,635,Hebestreit,Christian,Leipzig,AK 40,02:55:56,00:34:16,01:17:42,00:57:44,Details
385,71,418,Kunstmann,Robert,Leipzig,AK 35,02:55:57,00:34:03,01:20:09,00:55:25,Details
386,40,191,Kafka,Jens,Moritzburger Triathlonverein e. V.,AK 55,02:56:03,00:38:35,01:17:19,00:54:44,Details
387,40,369,Lorenz,Dirk,Marathon Club Glauchau,AK 50,02:56:16,00:36:44,01:20:51,00:49:58,Details
388,72,556,Schwarzer,Robin,Zwenkau,AK 35,02:56:26,00:30:46,01:21:16,00:55:49,Details
389,73,341,Lindau,Dirk,Coallakers,AK 35,02:56:31,00:39:22,01:22:26,00:48:23,Details
390,86,233,Zimmermann,Christian,,AK 40,02:56:43,00:35:18,01:13:21,00:57:42,Details
391,87,322,Schneider,Daan Peer,Leipzig,AK 40,02:56:51,00:35:59,01:25:18,00:48:53,Details
392,49,417,Niemeyer,Dennis,Braunschweig,AK 30,02:57:01,00:39:30,01:18:33,00:53:13,Details
393,12,693,Bürgelt,Frank,Moritzburger TV,AK 60,02:57:04,00:29:26,01:21:22,00:59:01,Details
394,37,767,Krahnert,Max,Leipzig,AK 25,02:57:13,00:32:54,01:18:17,00:56:50,Details
395,38,342,Pfotenhauer,Paul,Leipzig,AK 25,02:57:16,00:38:38,01:23:15,00:49:41,Details
396,13,401,Altenburger,Ronald,Neubiberg,AK 60,02:57:24,00:29:25,01:20:52,00:58:28,Details
397,40,762,Grimmer,Matthias,Koala Running Team,AK 45,02:57:32,00:38:30,01:17:49,00:54:43,Details
398,41,681,Hoffmann,Stephan,Dresden,AK 50,02:57:37,00:38:36,01:20:49,00:51:27,Details
399,88,135,Maiwald,Alexander,TriathlonFreunde Wittenberg e. V.,AK 40,02:57:43,00:34:05,01:25:24,00:50:04,Details
400,89,407,Struthmann,Thomas,LTV Obereichsfeld e. V.,AK 40,02:57:43,00:39:19,01:17:18,00:55:14,Details
401,42,104,Kleinschmidt,Uwe,KCR Sindlingen Triathlon,AK 50,02:57:59,00:28:56,01:18:00,01:04:13,Details
402,43,738,Wronski,Torsten,Berlin,AK 50,02:58:01,00:32:25,01:23:22,00:52:23,Details
403,41,536,Frenzel,Christoph,Leipzig,AK 55,02:58:06,00:33:54,01:25:13,00:53:44,Details
404,90,411,Weßner,Stefan,Wasserballett feuchte Nixen,AK 40,02:58:09,00:31:48,01:20:17,00:58:57,Details
405,42,709,Leykam,Thomas,Kulmbach,AK 55,02:58:16,00:29:47,01:23:25,00:58:31,Details
406,74,164,Arnold,Sebastian,SSV Blau-Weiß Gersdorf,AK 35,02:58:18,00:31:07,01:21:56,00:59:42,Details
407,50,727,Krayl,Stefan,Berlin,AK 30,02:58:25,00:36:54,01:24:01,00:51:15,Details
408,44,462,Geier,Stefan,Roth,AK 50,02:58:38,00:29:15,01:21:59,00:59:35,Details
409,75,421,Benjamin,Steffen,Stahlrenner,AK 35,02:58:48,00:33:26,01:18:51,01:00:31,Details
410,14,240,Anlauf,Norbert,Sv Tricity Darmstadt,AK 60,02:58:53,00:35:27,01:21:17,00:52:30,Details
411,16,287,Mischke,Egon,Bautzener LV Rot-Weiß 90 e. V.,AK 20,02:59:15,00:34:38,01:22:06,00:56:01,Details
412,51,721,Gronowski,Lauritz,Leipzig,AK 30,02:59:25,00:35:13,01:25:27,00:51:50,Details
413,52,324,Mellendorf,Max,Chemnitz,AK 30,03:00:00,00:35:48,01:22:21,00:55:58,Details
414,53,517,Teichler,Nils,Leipzig,AK 30,03:00:29,00:34:02,01:26:00,00:53:01,Details
415,76,675,Berger,Daniel,Machern,AK 35,03:00:30,00:35:14,01:22:14,00:56:30,Details
416,15,440,Krause,Knud,Berlin,AK 60,03:00:33,00:31:18,01:16:35,01:03:21,Details
417,45,566,Sehm,Jan-Olaf,Dresden,AK 50,03:00:39,00:35:12,01:22:24,00:57:21,Details
418,91,763,Weinert,Lars,Even Training,AK 40,03:00:47,00:35:06,01:20:58,00:58:36,Details
419,77,593,Niestolik,Ken,Stresskompetenz.jetzt,AK 35,03:01:02,00:30:54,01:20:36,01:03:24,Details
420,92,357,Heisig,Paul,athleticnetworks.com,AK 40,03:01:06,00:34:34,01:18:20,01:00:56,Details
421,41,617,Groß,Manuel,Bunte Truppe,AK 45,03:01:07,00:33:51,01:18:24,01:02:41,Details
422,78,373,Mühne,David,Flamingobeine,AK 35,03:01:24,00:37:21,01:24:04,00:55:05,Details
423,43,692,Lange,Sven,Undenheim,AK 55,03:01:33,00:35:06,01:18:41,01:02:25,Details
424,42,444,Wecke,Enrico,Leipzig,AK 45,03:01:39,00:35:50,01:19:17,00:58:44,Details
425,79,498,Knauf,Falco,Magnet der Stahlrenner,AK 35,03:01:45,00:36:43,01:27:13,00:51:38,Details
426,44,244,Höhne,Mario,TriathlonFreunde Wittenberg e. V.,AK 55,03:02:00,00:32:10,01:25:03,00:57:02,Details
427,93,588,Pietsch,Martin,BSG Traktor Otterwisch,AK 40,03:02:05,00:41:53,01:15:14,00:58:39,Details
428,54,711,Geisen,Jannik,Team beVegt.de,AK 30,03:02:10,00:33:57,01:23:48,00:55:36,Details
429,80,574,Nestler,Christian,Markkleeberg,AK 35,03:02:25,00:35:37,01:20:35,00:59:10,Details
430,45,699,Göpfarth,Rocco,TC Mia,AK 55,03:02:44,00:34:01,01:17:52,01:03:41,Details
431,81,770,Guse,Christian,Magdeburg,AK 35,03:03:06,00:38:41,01:19:27,01:00:15,Details
432,43,382,Kontofski,Rico,3#Irons,AK 45,03:03:15,00:32:17,01:25:50,00:57:25,Details
433,39,304,Wellkamp,Till Jonas,Leipzig,AK 25,03:03:21,00:38:10,01:19:32,00:54:31,Details
434,16,631,Kretschmer,Jörg,System-Kühlung,AK 60,03:03:23,00:38:13,01:23:41,00:56:34,Details
435,44,689,Kollock,Ronny,Die KamiKatzen,AK 45,03:03:48,00:37:18,01:36:05,00:44:47,Details
436,94,573,Kirsch,Patrick,FFW Lausen,AK 40,03:03:51,00:38:05,01:23:41,00:56:44,Details
